SalesID,Date,Country,Region,Salesperson,Product,Category,Quantity,UnitPrice,TotalSales,Discount,NetSales,ProfitMargin,Cost,Profit,Salary,Bonus,Access
e3e70682-c209-4cac-a29f-6fbed82c07cd,12-06-2024,Germany,Hesse,Vincent Tucker,Tablet,Electronics,66,245.53,16204.98,0.28,11667.59,25.1,8738.51,2929.08,97746,4222.44,manager@germany.co
4da5e709-d471-4d60-88a7-0639eb1167b3,04-07-2024,Canada,Quebec,Steven Robinson,Jeans,Clothing,97,51.94,5038.18,0.24,3829.02,20.38,3048.58,780.44,67279.45,7346.55,manager@canada.co
c17c6279-23c6-412f-8826-867323a7711a,06-02-2024,Australia,Victoria,Danielle Browning,T-shirt,Clothing,94,41.5,3901,0.26,2886.74,40.09,1729.33,1157.41,69186.96,4184.12,manager@australia.co
9a164106-cf6a-459e-b486-2b21fb97d435,27-02-2024,UK,Scotland,Nicholas Nolan,Comics,Books,57,433.33,24699.81,0.08,22723.83,25.85,16849.91,5873.92,68408.95,1126.38,manager@uk.co
8f4ff31e-78de-4857-9487-ce1eaf19922a,09-02-2024,Germany,Bavaria,Eugene Bowman,Comics,Books,43,125.74,5406.82,0.1,4866.14,23.89,3703.82,1162.32,43374.7,6107.6,manager@germany.co
7a1d5006-8d72-4104-b773-83c13458a748,20-06-2024,Canada,Quebec,Debbie Trujillo,Comics,Books,12,44.82,537.84,0.1,484.06,34.76,315.79,168.27,95298.37,1981.52,manager@canada.co
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,03-06-2024,Australia,Queensland,Rachel Garrett,Tablet,Electronics,70,105.58,7390.6,0.24,5616.86,33.58,3730.54,1886.32,50136.01,1824.69,manager@australia.co
de1b372a-d3fb-447a-be5b-1e7f9ca5499d,09-05-2024,Germany,Baden-Württemberg,Frederick Harrell,Textbook,Books,38,96.02,3648.76,0.25,2736.57,49.01,1395.35,1341.22,98690.98,3340.51,manager@germany.co
38c1962e-9148-424f-aac1-c14f30e9c5cc,02-04-2024,USA,Northeast,Brenda Daniels,Table,Furniture,5,422.02,2110.1,0.27,1540.37,22.31,1196.75,343.62,67841.99,4521.66,manager@usa.co
51ef1922-fe43-449e-9498-18d11759edc3,16-07-2024,Australia,Queensland,Mrs. Elizabeth Carter MD,Textbook,Books,28,448.04,12545.12,0.18,10287,21.51,8074.57,2212.43,70578.65,5055.07,manager@australia.co
